Cloudflare IP Optimizer — 完整测试结果
测试时间: 2026-06-18 10:05:16
成功: 2546 / 失败: 5584 / 总计: 8130

======================================================================
IP                                               延迟   Colo   Loc     状态码
104.21.99.111                                 66.9ms    DFW    US     200
104.24.69.80                                  66.9ms    ORD    US     200
104.24.8.118                                  67.1ms    DFW    US     200
104.24.64.67                                  67.1ms    ORD    US     200
172.64.159.157                                67.2ms    DFW    US     200
104.21.95.173                                 67.3ms    ORD    US     200
104.24.84.194                                 67.3ms    ORD    US     200
141.101.122.208                               67.3ms    ORD    US     200
104.21.38.35                                  67.5ms    DFW    US     200
104.21.1.181                                  67.7ms    DFW    US     200
104.21.98.174                                 67.8ms    ORD    US     200
104.24.91.238                                 67.9ms    ORD    US     200
104.21.11.80                                  68.3ms    DFW    US     200
104.21.62.4                                   68.7ms    DFW    US     200
104.24.18.75                                  68.7ms    DFW    US     200
104.24.22.254                                 68.7ms    DFW    US     200
104.24.75.92                                  68.7ms    DFW    US     200
104.21.9.228                                  69.1ms    ORD    US     200
104.24.9.225                                  69.1ms    ORD    US     200
104.21.57.2                                   69.4ms    DFW    US     200
104.24.13.122                                 69.5ms    ORD    US     200
104.21.48.191                                 69.8ms    ORD    US     200
104.21.93.221                                 69.9ms    DFW    US     200
104.21.43.74                                  70.1ms    DFW    US     200
104.21.103.76                                 70.1ms    ORD    US     200
104.21.105.120                                70.2ms    DFW    US     200
104.24.78.3                                   70.2ms    ORD    US     200
104.24.52.141                                 70.4ms    ORD    US     200
104.24.68.137                                 70.6ms    ORD    US     200
104.24.82.55                                  70.9ms    ORD    US     200
104.24.80.98                                  71.0ms    DFW    US     200
104.24.70.48                                  71.1ms    DFW    US     200
104.21.49.143                                 71.6ms    DFW    US     200
141.101.123.29                                71.6ms    DFW    US     200
141.101.120.253                               71.8ms    ORD    US     200
104.21.39.235                                 71.9ms    DFW    US     200
104.21.78.157                                 71.9ms    DFW    US     200
104.24.48.12                                  72.0ms    ORD    US     200
104.24.49.51                                  72.0ms    ORD    US     200
104.21.111.238                                72.1ms    ORD    US     200
104.24.47.9                                   72.2ms    ORD    US     200
104.21.85.204                                 72.5ms    DFW    US     200
